census region,air conditioning type,housing types,technology,year,value
66,64,28,4,2006,0.0
66,64,28,4,2007,0.0
66,64,28,4,2008,0.0
66,64,28,4,2009,0.0
66,64,28,4,2010,0.0
66,64,28,4,2011,0.0
66,64,28,4,2012,0.0
66,64,28,4,2013,0.0
66,64,28,4,2014,0.0
66,64,28,4,2015,0.0
66,64,28,4,2016,0.0
66,64,28,10,2000,0.0
66,64,28,10,2001,0.0
66,64,28,10,2002,0.0
66,64,28,10,2003,0.0
66,64,28,10,2004,0.0
66,64,28,10,2005,0.0
66,64,28,10,2006,0.0
66,64,28,10,2007,0.0
66,64,28,10,2008,0.0
66,64,28,10,2009,0.0
66,64,28,10,2010,0.0
66,64,28,10,2011,0.0
66,64,28,10,2012,0.0
66,64,28,10,2013,0.0
66,64,28,10,2014,0.0
66,64,28,10,2015,0.0
66,64,28,10,2016,0.0
66,64,28,71,2000,0.0
66,64,28,71,2001,0.0
66,64,28,71,2002,0.0
66,64,28,71,2003,0.0
66,64,28,71,2004,0.0
66,64,28,71,2005,0.0
66,64,28,71,2006,0.0
66,64,28,71,2007,0.0
66,64,28,71,2008,0.0
